코드,브랜드명
AA,아떼 바네사브루노 액세사리
AE,앳코너
AR,알레그리
CA,아떼뷰티
CB,불리
CH,콜 한
CJ,로브제/조보이샵
CN,세인트제임스
CQ,캠브리지 유니버시티
CW,라움
CZ,룰429
DB,닥스 액세서리 남성
DC,닥스 액세서리 여성
DD,더블플래그
DG,닥스 골프
DL,닥스 여성
DM,닥스 남성
EG,지포어
EP,스탠다이얼
EZ,백컨트리
FF,핏플랍
FI,포르테포르테
FP,질 바이 질스튜어트 슈즈
GM,오피신 제네랄 남성
GW,오피신 제네랄 여성
HB,헤지스 키즈
HG,헤지스 골프
HI,헤지스 액세서리 여성
HJ,헤지스 액세서리 남성
HR,히스 헤지스
HS,헤지스 여성
HZ,헤지스 남성
IE,일꼬르소
IS,이자벨마랑
IU,이자벨마랑남성
JA,질스튜어트 뉴욕 액세서리
JL,질 바이 질스튜어트
JN,질 스튜어트 뉴욕 남성
JO,조셉
JS,질스튜어트 뉴욕 여성
JT,질스튜어트 스포츠
JW,제이에스엔와이 우먼
KN,킨
LL,라푸마
LN,레오나드
MA,마에스트로
RA,라움
RE,슈즈 통합
RU,랜덤골프클럽
RV,닥스 액세서리 남성
RX,리복
SE,스페이드클럽서울
SI,바쉬
SP,피즈
TN,티엔지티
TO,탐스
TP,티피코시
TT,티톤 브로스
TU,빠투
UP,우포스
UR,바버
VA,바네사브루노
VC,빈스
YS,질스튜어트뉴욕 모먼트에디션
YY,모그스튜디오
